time,Cr_at_center,Cr_at_surface,defect_max
1440,0.19986883525385,0.17,1.967896e-07
1450,0.19986435076415,0.17,1.981555e-07
1460,0.19985978404734,0.17,1.995214e-07
1470,0.19985513525244,0.17,2.008873e-07
1480,0.19985040454758,0.17,2.022532e-07
1490,0.19984559211931,0.17,2.036191e-07
1500,0.19984069817202,0.17,2.04985e-07
1510,0.19983572292739,0.17,2.063509e-07
1520,0.19983066662373,0.17,2.077168e-07
1530,0.19982552951548,0.17,2.090827e-07
1540,0.19982031187263,0.17,2.104486e-07
1550,0.19981501398012,0.17,2.118145e-07
1560,0.19980963613737,0.17,2.131804e-07
1570,0.19980417865771,0.17,2.145463e-07
1580,0.19979864186787,0.17,2.159122e-07
1590,0.19979302610745,0.17,2.172781e-07
1600,0.19978733172846,0.17,2.18644e-07
1610,0.1997815590948,0.17,2.200099e-07
1620,0.19977570858178,0.17,2.213758e-07
1630,0.19976978057568,0.17,2.227417e-07
1640,0.19976377547328,0.17,2.241076e-07
1650,0.1997576936814,0.17,2.254735e-07
1660,0.19975153561647,0.17,2.268394e-07
1670,0.19974530170414,0.17,2.282053e-07
1680,0.1997389923788,0.17,2.295712e-07
1690,0.19973260808323,0.17,2.309371e-07
1700,0.19972614926817,0.17,2.32303e-07
1710,0.19971961639197,0.17,2.336689e-07
1720,0.19971300992016,0.17,2.350348e-07
1730,0.19970633032517,0.17,2.364007e-07
1740,0.19969957808586,0.17,2.377666e-07
1750,0.1996927536873,0.17,2.391325e-07
1760,0.19968585762031,0.17,2.404984e-07
1770,0.19967889038124,0.17,2.418643e-07
1780,0.19967185247157,0.17,2.432302e-07
1790,0.19966474439764,0.17,2.445961e-07
1800,0.19965756667035,0.17,2.45962e-07
1810,0.19965031980484,0.17,2.473279e-07
1820,0.19964300432025,0.17,2.486938e-07
1830,0.19963562073938,0.17,2.500597e-07
1840,0.19962816958848,0.17,2.514256e-07
1850,0.19962065139698,0.17,2.527915e-07
1860,0.1996130666972,0.17,2.541574e-07
1870,0.19960541602414,0.17,2.555233e-07
1880,0.19959769991525,0.17,2.568892e-07
1890,0.19958991891016,0.17,2.582551e-07
1900,0.19958207355048,0.17,2.59621e-07
1910,0.19957416437962,0.17,2.609869e-07
1920,0.19956619194249,0.17,2.623528e-07
1930,0.19955815678541,0.17,2.637187e-07
1940,0.19955005945581,0.17,2.650846e-07
1950,0.19954190050212,0.17,2.664505e-07
1960,0.19953368047354,0.17,2.678164e-07
1970,0.19952539991987,0.17,2.691823e-07
1980,0.19951705939136,0.17,2.705482e-07
1990,0.19950865943852,0.17,2.719141e-07
2000,0.19950020061198,0.17,2.7328e-07
2010,0.19949168346232,0.17,2.746459e-07
2020,0.19948310853993,0.17,2.760118e-07
2030,0.19947447639485,0.17,2.773777e-07
2040,0.19946578757666,0.17,2.787436e-07
2050,0.19945704263433,0.17,2.801095e-07
2060,0.19944824211608,0.17,2.814754e-07
2070,0.19943938656928,0.17,2.828413e-07
2080,0.19943047654031,0.17,2.842072e-07
2090,0.19942151257447,0.17,2.855731e-07
2100,0.19941249521582,0.17,2.86939e-07
2110,0.19940342500714,0.17,2.883049e-07
2120,0.19939430248977,0.17,2.896708e-07
2130,0.19938512820356,0.17,2.910367e-07
2140,0.19937590268672,0.17,2.924026e-07
2150,0.19936662647579,0.17,2.937685e-07
2160,0.19935730010551,0.17,2.951344e-07
2170,0.19934792410875,0.17,2.965003e-07
2180,0.19933849901642,0.17,2.978662e-07
2190,0.19932902535744,0.17,2.992321e-07
2200,0.19931950365858,0.17,3.00598e-07
2210,0.19930993444449,0.17,3.019639e-07
2220,0.19930031823755,0.17,3.033298e-07
2230,0.19929065555785,0.17,3.046957e-07
2240,0.19928094692313,0.17,3.060616e-07
2250,0.19927119284869,0.17,3.074275e-07
2260,0.19926139384738,0.17,3.087934e-07
2270,0.19925155042951,0.17,3.101593e-07
2280,0.1992416631028,0.17,3.115252e-07
2290,0.19923173237237,0.17,3.128911e-07
2300,0.19922175874066,0.17,3.14257e-07
2310,0.19921174270739,0.17,3.156229e-07
2320,0.19920168476954,0.17,3.169888e-07
2330,0.19919158542129,0.17,3.183547e-07
2340,0.199181445154,0.17,3.197206e-07
2350,0.19917126445615,0.17,3.210865e-07
2360,0.19916104381335,0.17,3.224524e-07
2370,0.19915078370828,0.17,3.238183e-07
2380,0.19914048462065,0.17,3.251842e-07
2390,0.19913014702722,0.17,3.265501e-07
2400,0.19911977140174,0.17,3.27916e-07
2410,0.19910935821492,0.17,3.292819e-07
2420,0.19909890793443,0.17,3.306478e-07
2430,0.19908842102488,0.17,3.320137e-07
2440,0.1990778979478,0.17,3.333796e-07
2450,0.1990673391616,0.17,3.347455e-07
2460,0.19905674512161,0.17,3.361114e-07
2470,0.19904611627998,0.17,3.374773e-07
2480,0.19903545308576,0.17,3.388432e-07
2490,0.19902475598484,0.17,3.402091e-07
2500,0.19901402541994,0.17,3.41575e-07
2510,0.19900326183061,0.17,3.429409e-07
2520,0.19899246565322,0.17,3.443068e-07
2530,0.19898163732096,0.17,3.456727e-07
2540,0.19897077726385,0.17,3.470386e-07
2550,0.19895988590867,0.17,3.484045e-07
2560,0.19894896367906,0.17,3.497704e-07
2570,0.19893801099542,0.17,3.511363e-07
2580,0.19892702827497,0.17,3.525022e-07
2590,0.19891601593173,0.17,3.538681e-07
2600,0.19890497437651,0.17,3.55234e-07
2610,0.19889390401695,0.17,3.565999e-07
2620,0.19888280525747,0.17,3.579658e-07
2630,0.1988716784993,0.17,3.593317e-07
2640,0.19886052414051,0.17,3.606976e-07
2650,0.19884934257595,0.17,3.620635e-07
2660,0.19883813419733,0.17,3.634294e-07
2670,0.19882689939317,0.17,3.647953e-07
2680,0.19881563854882,0.17,3.661612e-07
2690,0.19880435204649,0.17,3.675271e-07
2700,0.19879304026523,0.17,3.68893e-07
2710,0.19878170358096,0.17,3.702589e-07
2720,0.19877034236646,0.17,3.716248e-07
2730,0.1987589569914,0.17,3.729907e-07
2740,0.19874754782233,0.17,3.743566e-07
2750,0.1987361152227,0.17,3.757225e-07
2760,0.19872465955288,0.17,3.770884e-07
2770,0.19871318117015,0.17,3.784543e-07
2780,0.19870168042872,0.17,3.798202e-07
2790,0.19869015767978,0.17,3.811861e-07
2800,0.19867861327144,0.17,3.82552e-07
2810,0.1986670475488,0.17,3.839179e-07
2820,0.19865546085395,0.17,3.852838e-07
2830,0.19864385352596,0.17,3.866497e-07
2840,0.19863222590095,0.17,3.880156e-07
2850,0.19862057831204,0.17,3.893815e-07
2860,0.19860891108938,0.17,3.907474e-07
2870,0.19859722456022,0.17,3.921133e-07
2880,0.19858551904886,0.17,3.934792e-07
2890,0.19857379487667,0.17,3.948451e-07
2900,0.19856205236216,0.17,3.96211e-07
2910,0.19855029182093,0.17,3.975769e-07
2920,0.19853851356574,0.17,3.989428e-07
2930,0.19852671790649,0.17,4.003087e-07
2940,0.19851490515025,0.17,4.016746e-07
2950,0.19850307560127,0.17,4.030405e-07
2960,0.19849122956102,0.17,4.044064e-07
2970,0.19847936732817,0.17,4.057723e-07
2980,0.19846748919863,0.17,4.071382e-07
2990,0.19845559546559,0.17,4.085041e-07
3000,0.19844368641946,0.17,4.0987e-07
3010,0.198431762348,0.17,4.112359e-07
3020,0.19841982353621,0.17,4.126018e-07
3030,0.19840787026648,0.17,4.139677e-07
3040,0.19839590281848,0.17,4.153336e-07
3050,0.19838392146929,0.17,4.166995e-07
3060,0.19837192649334,0.17,4.180654e-07
3070,0.19835991816245,0.17,4.194313e-07
3080,0.19834789674587,0.17,4.207972e-07
3090,0.19833586251028,0.17,4.221631e-07
3100,0.19832381571979,0.17,4.23529e-07
3110,0.19831175663599,0.17,4.248949e-07
3120,0.19829968551797,0.17,4.262608e-07
3130,0.1982876026223,0.17,4.276267e-07
3140,0.19827550820308,0.17,4.289926e-07
3150,0.19826340251194,0.17,4.303585e-07
3160,0.19825128579809,0.17,4.317244e-07
3170,0.1982391583083,0.17,4.330903e-07
3180,0.19822702028693,0.17,4.344562e-07
3190,0.19821487197596,0.17,4.358221e-07
3200,0.198202713615,0.17,4.37188e-07
3210,0.19819054544132,0.17,4.385539e-07
3220,0.19817836768983,0.17,4.399198e-07
3230,0.19816618059313,0.17,4.412857e-07
3240,0.19815398438155,0.17,4.426516e-07
3250,0.19814177928312,0.17,4.440175e-07
3260,0.19812956552359,0.17,4.453834e-07
3270,0.1981173433265,0.17,4.467493e-07
3280,0.19810511291315,0.17,4.481152e-07
3290,0.19809287450263,0.17,4.494811e-07
3300,0.19808062831183,0.17,4.50847e-07
3310,0.1980683745555,0.17,4.522129e-07
3320,0.19805611344619,0.17,4.535788e-07
3330,0.19804384519435,0.17,4.549447e-07
3340,0.19803157000829,0.17,4.563106e-07
3350,0.19801928809422,0.17,4.576765e-07
3360,0.19800699965627,0.17,4.590424e-07
3370,0.1979947048965,0.17,4.604083e-07
3380,0.19798240401491,0.17,4.617742e-07
3390,0.19797009720949,0.17,4.631401e-07
3400,0.19795778467618,0.17,4.64506e-07
3410,0.19794546660895,0.17,4.658719e-07
3420,0.19793314319976,0.17,4.672378e-07
3430,0.19792081463864,0.17,4.686037e-07
3440,0.19790848111362,0.17,4.699696e-07
